SpMax_L,F04[C-N],C%,nO,HyWi_B(m),LOC,SM6_L,F03[C-O],Me,Mi,nN-N,nArNO2,nCRX3,SpPosA_B(p),nCIR,B01[C-Br],B03[C-Cl],N-073,SpMax_A,Psi_i_1d,B04[C-Br],SdO,TI2_L,Class*
4.236,1,31.9,1,3.915,3.554,10.042,1,0.969,1.143,0,0,0,1.198,0,0,0,0,1.995,0,0,10.604,9.701,0
4.303,0,15.4,3,2.917,1.459,8.815,4,1.038,1.155,0,0,0,1.172,0,0,0,0,1.932,-0.264,0,9.921,1.745,0
5.262,0,28.3,4,3.856,2.733,10.387,12,0.987,1.144,0,0,0,1.187,0,0,0,0,2.257,0,0,12.436,3.441,0
6.253,0,30.8,2,4.252,1.544,11.905,2,1.285,1.34,0,0,1,0.908,0,0,0,0,2.648,0,0,9.723,3.516,0
4.807,0,42.9,0,3.075,0.881,9.833,0,0.967,1.119,0,0,0,1.321,1,0,0,0,2.246,-0.023,0,0,1.06,0
5.236,0,46.7,0,5.013,0.799,10.434,0,1.045,1.058,0,0,0,1.58,1,1,0,0,2.414,0.004,1,0,0.873,0
4.562,2,37.5,0,2.997,0.875,9.54,0,0.991,1.14,0,0,0,1.242,1,0,0,0,2.17,0.045,0,0,1.14,0
4.658,2,38.1,1,3.314,1.455,9.9,1,1.003,1.137,0,0,0,1.239,1,0,0,0,2.22,-0.008,0,10.556,2.349,0
5.388,0,39.3,1,3.351,1.124,10.539,4,0.978,1.126,0,0,0,1.27,1,0,0,0,2.377,0.004,0,0,1.69,0
4.97,0,40.9,1,3.193,0.861,10.06,4,0.983,1.123,0,0,0,1.272,1,0,0,0,2.307,0.013,0,0,0.962,0
5.399,0,38.7,1,3.424,1.084,10.644,4,0.977,1.127,0,0,0,1.271,1,0,0,0,2.403,-0.002,0,0,1.65,0
4.807,0,43.8,1,3.297,0.881,9.833,2,1.012,1.113,0,0,0,1.298,1,0,1,0,2.246,-0.025,0,0,1.06,0
4.607,0,41.2,1,3.256,1.187,9.631,2,0.996,1.105,0,0,0,1.302,1,0,0,0,2.194,-0.025,0,0,1.544,0
5.313,0,40,1,3.564,1.697,10.592,2,0.976,1.125,0,0,0,1.274,1,0,0,0,2.329,-0.001,0,10.535,2.986,0
5.103,4,35,5,3.649,1.197,10.456,11,1.08,1.144,0,2,0,1.195,1,0,0,0,2.38,0.001,0,41.425,1.74,0
5.265,6,35.3,3,3.998,2.353,10.632,6,1.012,1.123,0,0,0,1.296,1,0,0,0,2.3,0,0,0,3.88,0
5.029,0,46.7,4,3.837,1.418,10.634,10,1.02,1.111,0,0,0,1.254,3,0,0,0,2.403,0,0,22.765,2.586,0
5.431,0,32.1,1,3.233,0.832,10.681,2,0.982,1.144,0,0,0,1.232,1,0,0,0,2.394,-0.007,0,11.254,1.055,0
5.287,9,35.3,9,4.319,2.346,11.029,21,1.043,1.14,0,0,0,1.178,1,0,0,0,2.462,0,0,71.167,3.396,0
4.869,9,44.4,4,4.435,1.073,11.072,9,1.016,1.123,0,1,0,1.261,3,0,0,0,2.314,0,0,33.54,6.465,0
5.158,36,56.1,0,4.902,0.257,11.817,0,1.007,1.093,0,0,0,1.41,147,0,1,2,2.622,0,0,0,1.535,0
5.076,0,54.5,0,3.792,0.673,10.327,0,1.003,1.089,0,0,0,1.364,2,0,1,0,2.363,-0.001,0,0,2.106,0
